,y I,y II,y III,y IIII,y IIIII,y IIIIII,y IIIIIII,y IIIIIIII,y IIIIIIIII,y IIIIIIIIII,y IIIIIIIIIII,y IIIIIIIIIIII,y IIIIIIIIIIIII
age,-0.0082***,,,,,,,,,,,,
,(0.0020),,,,,,,,,,,,
aug,,,,,,,,,,,-1.2248***,,
,,,,,,,,,,,(0.0796),,
balance,,,,,,0.0000***,,,,,,,
,,,,,,(0.0000),,,,,,,
blue-collar,,-0.3399***,,,,,,,,,,,
,,(0.0712),,,,,,,,,,,
campaign,,,,,,,,,,,,,-0.0704***
,,,,,,,,,,,,,(0.0087)
const,-2.2189***,-2.4657***,-2.4055***,-2.8191***,-2.5468***,-2.5912***,-2.3176***,-2.4968***,-2.3182***,-2.5027***,-1.6147***,-4.1599***,-2.3652***
,(0.0834),(0.0556),(0.0528),(0.0548),(0.0195),(0.0208),(0.0277),(0.0207),(0.0222),(0.0417),(0.0516),(0.0383),(0.0286)
day,,,,,,,,,,-0.0030,,,
,,,,,,,,,,(0.0023),,,
dec,,,,,,,,,,,-0.8702,,
,,,,,,,,,,,(1.0421),,
duration,,,,,,,,,,,,0.0043***,
,,,,,,,,,,,,(0.0001),
entrepreneur,,-0.2400*,,,,,,,,,,,
,,(0.1233),,,,,,,,,,,
feb,,,,,,,,,,,-0.4652***,,
,,,,,,,,,,,(0.0841),,
housemaid,,-0.5052***,,,,,,,,,,,
,,(0.1514),,,,,,,,,,,
jan,,,,,,,,,,,-1.7847***,,
,,,,,,,,,,,(0.1728),,
jul,,,,,,,,,,,-1.1335***,,
,,,,,,,,,,,(0.0737),,
jun,,,,,,,,,,,-1.1001***,,
,,,,,,,,,,,(0.0793),,
management,,0.0606,,,,,,,,,,,
,,(0.0686),,,,,,,,,,,
mar,,,,,,,,,,,1.5527***,,
,,,,,,,,,,,(0.1348),,
married,,,-0.3353***,,,,,,,,,,
,,,(0.0592),,,,,,,,,,
may,,,,,,,,,,,-1.1645***,,
,,,,,,,,,,,(0.0633),,
nov,,,,,,,,,,,-1.1167***,,
,,,,,,,,,,,(0.0866),,
oct,,,,,,,,,,,2.0726***,,
,,,,,,,,,,,(0.2352),,
retired,,0.3237***,,,,,,,,,,,
,,(0.1024),,,,,,,,,,,
secondary,,,,0.1941***,,,,,,,,,
,,,,(0.0613),,,,,,,,,
self-employed,,0.0126,,,,,,,,,,,
,,(0.1131),,,,,,,,,,,
services,,-0.2705***,,,,,,,,,,,
,,(0.0870),,,,,,,,,,,
single,,,0.1435**,,,,,,,,,,
,,,(0.0622),,,,,,,,,,
student,,0.7811***,,,,,,,,,,,
,,(0.1325),,,,,,,,,,,
technician,,-0.0827,,,,,,,,,,,
,,(0.0725),,,,,,,,,,,
telephone,,,,,,,,,-0.2454***,,,,
,,,,,,,,,(0.0835),,,,
tertiary,,,,0.5276***,,,,,,,,,
,,,,(0.0638),,,,,,,,,
unemployed,,0.1144,,,,,,,,,,,
,,(0.1204),,,,,,,,,,,
unknown,,-0.0856,,0.1145,,,,,-0.8880***,,,,
,,(0.2579),,(0.1188),,,,,(0.0508),,,,
yes,,,,,-0.1947,,-0.4177***,-0.3502***,,,,,
,,,,,(0.1487),,(0.0387),(0.0567),,,,,
